[ Block 0 ]  Block number: 9800644  Block average speedup: 2.907977903240072
[ Block 1 ]  Block number: 9801267  Block average speedup: 3.278692523878391
[ Block 2 ]  Block number: 9802747  Block average speedup: 4.8276687952158905
[ Block 3 ]  Block number: 9803676  Block average speedup: 4.684895694456034
[ Block 4 ]  Block number: 9805545  Block average speedup: 2.9016618247624093
[ Block 5 ]  Block number: 9805650  Block average speedup: NaN
[ Block 6 ]  Block number: 9808029  Block average speedup: 3.9789654226947144
[ Block 7 ]  Block number: 9808140  Block average speedup: 5.0459033977185435
[ Block 8 ]  Block number: 9811535  Block average speedup: 2.986057392421177
[ Block 9 ]  Block number: 9811599  Block average speedup: 11.39751076662861
[ Block 10 ]  Block number: 9812390  Block average speedup: 16.614474992997074
[ Block 11 ]  Block number: 9813156  Block average speedup: 8.395099365509259
[ Block 12 ]  Block number: 9814128  Block average speedup: 5.688395665455214
[ Block 13 ]  Block number: 9814383  Block average speedup: 3.289745693215772
[ Block 14 ]  Block number: 9815355  Block average speedup: 7.150428257427407
[ Block 15 ]  Block number: 9815804  Block average speedup: 2.2162444420781977
[ Block 16 ]  Block number: 9817609  Block average speedup: 10.919676623733709
[ Block 17 ]  Block number: 9819761  Block average speedup: 8.25601488739187
[ Block 18 ]  Block number: 9820260  Block average speedup: 6.297358105623902
[ Block 19 ]  Block number: 9822347  Block average speedup: 4.058206565200302
[ Block 20 ]  Block number: 9822948  Block average speedup: 9.351103256269559
[ Block 21 ]  Block number: 9825515  Block average speedup: 3.2945089093409825
[ Block 22 ]  Block number: 9825938  Block average speedup: 8.584056353111642
[ Block 23 ]  Block number: 9826519  Block average speedup: 10.083606297706138
[ Block 24 ]  Block number: 9828529  Block average speedup: 1.6777086194331983
[ Block 25 ]  Block number: 9829321  Block average speedup: 6.217126702948914
[ Block 26 ]  Block number: 9829789  Block average speedup: 4.037522671522204
[ Block 27 ]  Block number: 9829865  Block average speedup: 10.735946220808948
[ Block 28 ]  Block number: 9829920  Block average speedup: 9.486625820886701
[ Block 29 ]  Block number: 9830868  Block average speedup: 7.726078867745841
[ Block 30 ]  Block number: 9831292  Block average speedup: 3.801316327350622
[ Block 31 ]  Block number: 9833300  Block average speedup: 9.80915870030302
[ Block 32 ]  Block number: 9833636  Block average speedup: 5.022425526251258
[ Block 33 ]  Block number: 9834519  Block average speedup: 2.7306663531444206
[ Block 34 ]  Block number: 9835489  Block average speedup: 9.07403112912349
[ Block 35 ]  Block number: 9836212  Block average speedup: 7.953212723718949
[ Block 36 ]  Block number: 9836691  Block average speedup: 5.465898684205374
[ Block 37 ]  Block number: 9837437  Block average speedup: 4.2876868978702865
[ Block 38 ]  Block number: 9838051  Block average speedup: 11.539499256276326
[ Block 39 ]  Block number: 9842047  Block average speedup: 6.488698428330328
[ Block 40 ]  Block number: 9843295  Block average speedup: 10.991641252129572
[ Block 41 ]  Block number: 9845169  Block average speedup: NaN
[ Block 42 ]  Block number: 9848244  Block average speedup: 4.825587376071592
[ Block 43 ]  Block number: 9849578  Block average speedup: 5.065925807889935
[ Block 44 ]  Block number: 9850168  Block average speedup: NaN
[ Block 45 ]  Block number: 9857092  Block average speedup: 6.44724613539614
[ Block 46 ]  Block number: 9857354  Block average speedup: 5.012033465100547
[ Block 47 ]  Block number: 9859576  Block average speedup: 6.728313074470688
[ Block 48 ]  Block number: 9859845  Block average speedup: 4.997675637659403
[ Block 49 ]  Block number: 9860233  Block average speedup: 8.172800230566102
[ Block 50 ]  Block number: 9861129  Block average speedup: 2.78403902124053
[ Block 51 ]  Block number: 9862048  Block average speedup: 8.528645214139466
[ Block 52 ]  Block number: 9862893  Block average speedup: 2.8249059084696033
[ Block 53 ]  Block number: 9863081  Block average speedup: 11.685088720811757
[ Block 54 ]  Block number: 9865495  Block average speedup: 1.853730358287915
[ Block 55 ]  Block number: 9868032  Block average speedup: 4.958533521490965
[ Block 56 ]  Block number: 9869251  Block average speedup: 3.9828022585515157
[ Block 57 ]  Block number: 9869517  Block average speedup: 9.293988727669467
[ Block 58 ]  Block number: 9869785  Block average speedup: 8.683362315048651
[ Block 59 ]  Block number: 9870676  Block average speedup: 16.38166402977779
[ Block 60 ]  Block number: 9872506  Block average speedup: 8.214969467198609
[ Block 61 ]  Block number: 9873874  Block average speedup: 6.779284332965472
[ Block 62 ]  Block number: 9874943  Block average speedup: 15.610652290503987
[ Block 63 ]  Block number: 9875121  Block average speedup: 6.703627724576807
[ Block 64 ]  Block number: 9875777  Block average speedup: 4.094790800059006
[ Block 65 ]  Block number: 9876301  Block average speedup: 3.7574673406572496
[ Block 66 ]  Block number: 9877805  Block average speedup: 12.28199839804033
[ Block 67 ]  Block number: 9878049  Block average speedup: NaN
